context_tokens,mean_abs_relative_error_pct,rmse_relative_error_pct,max_abs_relative_error_pct,mean_relative_error_pct,passes_reproduction_guardrail,best_mean_abs_error,best_rmse,best_max_error,default_context,guardrail_window_min,guardrail_window_max,interpretation
925,8.324349,9.751220,15.997826,-0.172792,0,0,0,0,0,977,1040,outside_guardrail
926,8.324623,9.750271,15.978154,-0.179546,0,0,0,0,0,977,1040,outside_guardrail
927,8.324897,9.749330,15.958488,-0.186299,0,0,0,0,0,977,1040,outside_guardrail
928,8.325225,9.748399,15.938829,-0.193049,0,0,0,0,0,977,1040,outside_guardrail
929,8.325632,9.747477,15.919177,-0.199798,0,0,0,0,0,977,1040,outside_guardrail
930,8.326039,9.746564,15.899532,-0.206544,0,0,0,0,0,977,1040,outside_guardrail
931,8.326446,9.745660,15.879893,-0.213290,0,0,0,0,0,977,1040,outside_guardrail
932,8.326852,9.744766,15.860260,-0.220033,0,0,0,0,0,977,1040,outside_guardrail
933,8.327259,9.743881,15.840635,-0.226774,0,0,0,0,0,977,1040,outside_guardrail
934,8.327665,9.743005,15.821016,-0.233514,0,0,0,0,0,977,1040,outside_guardrail
935,8.328071,9.742138,15.801403,-0.240252,0,0,0,0,0,977,1040,outside_guardrail
936,8.328477,9.741281,15.781798,-0.246988,0,0,0,0,0,977,1040,outside_guardrail
937,8.328882,9.740432,15.762199,-0.253723,0,0,0,0,0,977,1040,outside_guardrail
938,8.329287,9.739593,15.742606,-0.260456,0,0,0,0,0,977,1040,outside_guardrail
939,8.329693,9.738763,15.723020,-0.267186,0,0,0,0,0,977,1040,outside_guardrail
940,8.330097,9.737942,15.703441,-0.273916,0,0,0,0,0,977,1040,outside_guardrail
941,8.330502,9.737131,15.683869,-0.280643,0,0,0,0,0,977,1040,outside_guardrail
942,8.330907,9.736328,15.664303,-0.287369,0,0,0,0,0,977,1040,outside_guardrail
943,8.331311,9.735535,15.644743,-0.294092,0,0,0,0,0,977,1040,outside_guardrail
944,8.331715,9.734751,15.625191,-0.300815,0,0,0,0,0,977,1040,outside_guardrail
945,8.332119,9.733976,15.605645,-0.307535,0,0,0,0,0,977,1040,outside_guardrail
946,8.332523,9.733210,15.586105,-0.314253,0,0,0,0,0,977,1040,outside_guardrail
947,8.332926,9.732453,15.566572,-0.320970,0,0,0,0,0,977,1040,outside_guardrail
948,8.333329,9.731705,15.547046,-0.327685,0,0,0,0,0,977,1040,outside_guardrail
949,8.333732,9.730967,15.527526,-0.334399,0,0,0,0,0,977,1040,outside_guardrail
950,8.334135,9.730237,15.508013,-0.341110,0,0,0,0,0,977,1040,outside_guardrail
951,8.334538,9.729517,15.488507,-0.347820,0,0,0,0,0,977,1040,outside_guardrail
952,8.334940,9.728806,15.469007,-0.354528,0,0,0,0,0,977,1040,outside_guardrail
953,8.335343,9.728103,15.449514,-0.361234,0,0,0,0,0,977,1040,outside_guardrail
954,8.335745,9.727410,15.430027,-0.367939,0,0,0,0,0,977,1040,outside_guardrail
955,8.336146,9.726726,15.410547,-0.374641,0,0,0,0,0,977,1040,outside_guardrail
956,8.336548,9.726051,15.391073,-0.381342,0,0,0,0,0,977,1040,outside_guardrail
957,8.336950,9.725385,15.371606,-0.388041,0,0,0,0,0,977,1040,outside_guardrail
958,8.337351,9.724728,15.352146,-0.394739,0,0,0,0,0,977,1040,outside_guardrail
959,8.337752,9.724081,15.332692,-0.401435,0,0,0,0,0,977,1040,outside_guardrail
960,8.338153,9.723442,15.313245,-0.408129,0,0,0,0,0,977,1040,outside_guardrail
961,8.338553,9.722812,15.293804,-0.414821,0,0,0,0,0,977,1040,outside_guardrail
962,8.338954,9.722191,15.274370,-0.421511,0,0,0,0,0,977,1040,outside_guardrail
963,8.339354,9.721579,15.254942,-0.428200,0,0,0,0,0,977,1040,outside_guardrail
964,8.339754,9.720977,15.235521,-0.434887,0,0,0,0,0,977,1040,outside_guardrail
965,8.340154,9.720383,15.216106,-0.441572,0,0,0,0,0,977,1040,outside_guardrail
966,8.340553,9.719798,15.196698,-0.448256,0,0,0,0,0,977,1040,outside_guardrail
967,8.340953,9.719222,15.177297,-0.454937,0,0,0,0,0,977,1040,outside_guardrail
968,8.341352,9.718656,15.157902,-0.461617,0,0,0,0,0,977,1040,outside_guardrail
969,8.341751,9.718098,15.138513,-0.468296,0,0,0,0,0,977,1040,outside_guardrail
970,8.342150,9.717549,15.119131,-0.474972,0,0,0,0,0,977,1040,outside_guardrail
971,8.342548,9.717009,15.099756,-0.481647,0,0,0,0,0,977,1040,outside_guardrail
972,8.342947,9.716478,15.080387,-0.488320,0,0,0,0,0,977,1040,outside_guardrail
973,8.343345,9.715956,15.061025,-0.494991,0,0,0,0,0,977,1040,outside_guardrail
974,8.343743,9.715443,15.041669,-0.501661,0,0,0,0,0,977,1040,outside_guardrail
975,8.344141,9.714939,15.022320,-0.508329,0,0,0,0,0,977,1040,outside_guardrail
976,8.344538,9.714443,15.002977,-0.514995,0,0,0,0,0,977,1040,outside_guardrail
977,8.344936,9.713957,14.983641,-0.521659,1,0,0,0,0,977,1040,paper_fit_window
978,8.345333,9.713480,14.964311,-0.528322,1,0,0,0,0,977,1040,paper_fit_window
979,8.345730,9.713011,14.944988,-0.534982,1,0,0,0,0,977,1040,paper_fit_window
980,8.346127,9.712552,14.925671,-0.541642,1,0,0,0,0,977,1040,paper_fit_window
981,8.346524,9.712101,14.906360,-0.548299,1,0,0,0,0,977,1040,paper_fit_window
982,8.346920,9.711659,14.887057,-0.554955,1,0,0,0,0,977,1040,paper_fit_window
983,8.347316,9.711226,14.867759,-0.561609,1,0,0,0,0,977,1040,paper_fit_window
984,8.347712,9.710802,14.848468,-0.568261,1,0,0,0,0,977,1040,paper_fit_window
985,8.348108,9.710386,14.829184,-0.574911,1,0,0,0,0,977,1040,paper_fit_window
986,8.348504,9.709980,14.809906,-0.581560,1,0,0,0,0,977,1040,paper_fit_window
987,8.348899,9.709582,14.790635,-0.588207,1,0,0,0,0,977,1040,paper_fit_window
988,8.349294,9.709194,14.771370,-0.594852,1,0,0,0,0,977,1040,paper_fit_window
989,8.349689,9.708814,14.752111,-0.601496,1,0,0,0,0,977,1040,paper_fit_window
990,8.350084,9.708442,14.732859,-0.608138,1,0,0,0,0,977,1040,paper_fit_window
